Phase,State,Value,,,,RCR CI,RCR CII,,,,,,,,,,
Peak,Ce,37.3697,,,,0.657698035,0.37842751,,,,,,,,,,High RCR means high proton LEAK which means that the OXPHOS is not coupled and it is less efficient in producing ATP.
Peak,PM-L,26.5026,, ratio Ci,,0.657698035,0.37842751,,,,,,,,,,
Peak,PM-P,40.296,,0.80121845,,0.657698035,0.37842751,,,,,,,,,,"When Baml is at its peak, CI is less efficient"
Peak,CI-P,42.5975,,ratio cii,,0.657698035,0.37842751,,,,,,,,,,
Peak,CI+CII-P,53.1659,,0.482160558,,0.657698035,0.37842751,,,,,,,,,,
Peak,CII-P,25.6345,,,,0.657698035,0.37842751,,,,,,,,,,
Peak,CII-L,9.7008,,,,0.657698035,0.37842751,,,,,,,,,,
Peak,CII-E,25.0067,,,,0.657698035,0.37842751,,,,,,,,,,
Peak,Ce,43.8088,,,,0.630051556,0.384381883,,,,,,,,,,
Peak,PM-L,29.1465,,ratio ci,,0.630051556,0.384381883,,,,,,,,,,
Peak,PM-P,46.2605,,0.769520274,,0.630051556,0.384381883,,,,,,,,,,
Peak,CI-P,49.8693,,ratio cii,,0.630051556,0.384381883,,,,,,,,,,
Peak,CI+CII-P,64.8057,,0.526131189,,0.630051556,0.384381883,,,,,,,,,,
Peak,CII-P,34.0963,,,,0.630051556,0.384381883,,,,,,,,,,
Peak,CII-L,13.106,,,,0.630051556,0.384381883,,,,,,,,,,
Peak,CII-E,33.8602,,,,0.630051556,0.384381883,,,,,,,,,,
Peak,Ce,38.8186,,,,0.54298089,0.340480784,,,,,,,,,,
Peak,PM-L,23.4811,,ratio ci,,0.54298089,0.340480784,,,,,,,,,,
Peak,PM-P,43.2448,,0.715304794,,0.54298089,0.340480784,,,,,,,,,,
Peak,CI-P,47.0883,,ratio cii,,0.54298089,0.340480784,,,,,,,,,,
Peak,CI+CII-P,65.8297,,0.5984229,,0.54298089,0.340480784,,,,,,,,,,
Peak,CII-P,39.394,,,,0.54298089,0.340480784,,,,,,,,,,
Peak,CII-L,13.4129,,,,0.54298089,0.340480784,,,,,,,,,,
Peak,CII-E,35.8106,,,,0.54298089,0.340480784,,,,,,,,,,
Peak,Ce,38.8733,,,,0.564289881,0.351892796,,,,,,,,,,
Peak,PM-L,24.7642,,ratio ci,,0.564289881,0.351892796,,,,,,,,,,
Peak,PM-P,43.8856,,0.733771039,,0.564289881,0.351892796,,,,,,,,,,
Peak,CI-P,47.8892,,ratio cii,,0.564289881,0.351892796,,,,,,,,,,
Peak,CI+CII-P,65.2645,,0.592516606,,0.564289881,0.351892796,,,,,,,,,,
Peak,CII-P,38.6703,,,,0.564289881,0.351892796,,,,,,,,,,
Peak,CII-L,13.6078,,,,0.564289881,0.351892796,,,,,,,,,,
Peak,CII-E,38.8179,,,,0.564289881,0.351892796,,,,,,,,,,
Trough,Ce,38.0689,,,,0.421218772,0.246685318,,,,,,,,,,
Trough,PM-L,21.4167,,ratio ci,,0.421218772,0.246685318,,,,,,,,,,
Trough,PM-P,50.8446,,0.750149919,,0.421218772,0.246685318,,,,,,,,,,
Trough,CI-P,60.1696,,ratio cii,,0.421218772,0.246685318,,,,,,,,,,
Trough,CI+CII-P,80.2101,,0.550360865,,0.421218772,0.246685318,,,,,,,,,,
Trough,CII-P,44.1445,,,,0.421218772,0.246685318,,,,,,,,,,
Trough,CII-L,10.8898,,,,0.421218772,0.246685318,,,,,,,,,,
Trough,CII-E,18.1304,,,,0.421218772,0.246685318,,,,,,,,,,
Trough,Ce,28.6797,,,,0.501043212,0.319697021,,,,,,,,,,
Trough,PM-L,16.7861,,ratio ci,,0.501043212,0.319697021,,,,,,,,,,
Trough,PM-P,33.5023,,0.735947345,,0.501043212,0.319697021,,,,,,,,,,
Trough,CI-P,37.9609,,ratio cii,,0.501043212,0.319697021,,,,,,,,,,
Trough,CI+CII-P,51.581,,0.512671332,,0.501043212,0.319697021,,,,,,,,,,
Trough,CII-P,26.4441,,,,0.501043212,0.319697021,,,,,,,,,,
Trough,CII-L,8.4541,,,,0.501043212,0.319697021,,,,,,,,,,
Trough,CII-E,12.0255,,,,0.501043212,0.319697021,,,,,,,,,,
Trough,Ce,38.4118,,,,0.497017858,0.304918799,,,,,,,,,,
Trough,PM-L,22.7664,,ratio ci,,0.497017858,0.304918799,,,,,,,,,,
Trough,PM-P,45.806,,0.729210112,,0.497017858,0.304918799,,,,,,,,,,
Trough,CI-P,52.9066,,ratio cii,,0.497017858,0.304918799,,,,,,,,,,
Trough,CI+CII-P,72.5533,,0.565912233,,0.497017858,0.304918799,,,,,,,,,,
Trough,CII-P,41.0588,,,,0.497017858,0.304918799,,,,,,,,,,
Trough,CII-L,12.5196,,,,0.497017858,0.304918799,,,,,,,,,,
Trough,CII-E,14.6526,,,,0.497017858,0.304918799,,,,,,,,,,
Trough,Ce,36.7132,,,,0.497820974,0.379482922,,,,,,,,,,
Trough,PM-L,21.441,,ratio ci,,0.497820974,0.379482922,,,,,,,,,,
Trough,PM-P,43.0697,,0.724431748,,0.497820974,0.379482922,,,,,,,,,,
Trough,CI-P,49.6009,,ratio cii,,0.497820974,0.379482922,,,,,,,,,,
Trough,CI+CII-P,68.4687,,0.561184892,,0.497820974,0.379482922,,,,,,,,,,
Trough,CII-P,38.4236,,,,0.497820974,0.379482922,,,,,,,,,,
Trough,CII-L,14.5811,,,,0.497820974,0.379482922,,,,,,,,,,
Trough,CII-E,13.9361,,,,0.497820974,0.379482922,,,,,,,,,,
