Probe,Value,Timepoint,Mean,SD,SEM
ARNTL,1.65,T1,1.105,0.54,0.270724337
ARNTL,1.49,T1,1.105,0.54,0.270724337
ARNTL,0.67,T1,1.105,0.54,0.270724337
ARNTL,0.61,T1,1.105,0.54,0.270724337
ARNTL,0.66,T2,0.6225,0.11,0.056328649
ARNTL,0.57,T2,0.6225,0.11,0.056328649
ARNTL,0.76,T2,0.6225,0.11,0.056328649
ARNTL,0.5,T2,0.6225,0.11,0.056328649
ARNTL,1.87,T3,1.79,0.18,0.091287093
ARNTL,1.81,T3,1.79,0.18,0.091287093
ARNTL,1.53,T3,1.79,0.18,0.091287093
ARNTL,1.95,T3,1.79,0.18,0.091287093
ARNTL,1.2,T4,1.39,0.21,0.105751281
ARNTL,1.49,T4,1.39,0.21,0.105751281
ARNTL,1.64,T4,1.39,0.21,0.105751281
ARNTL,1.23,T4,1.39,0.21,0.105751281
ARNTL,0.77,T5,0.7275,0.04,0.02212653
ARNTL,0.68,T5,0.7275,0.04,0.02212653
ARNTL,0.76,T5,0.7275,0.04,0.02212653
ARNTL,0.7,T5,0.7275,0.04,0.02212653
ARNTL,0.93,T6,0.9925,0.07,0.0325
ARNTL,0.96,T6,0.9925,0.07,0.0325
ARNTL,1.08,T6,0.9925,0.07,0.0325
ARNTL,1,T6,0.9925,0.07,0.0325
ARNTL,1.06,T7,1.13,0.06,0.032403703
ARNTL,1.19,T7,1.13,0.06,0.032403703
ARNTL,1.18,T7,1.13,0.06,0.032403703
ARNTL,1.09,T7,1.13,0.06,0.032403703
ARNTL,1.91,T8,1.745,0.21,0.105711873
ARNTL,1.86,T8,1.745,0.21,0.105711873
ARNTL,1.77,T8,1.745,0.21,0.105711873
ARNTL,1.44,T8,1.745,0.21,0.105711873
ARNTL,1.37,T9,1.5125,0.1,0.051051445
ARNTL,1.52,T9,1.5125,0.1,0.051051445
ARNTL,1.55,T9,1.5125,0.1,0.051051445
ARNTL,1.61,T9,1.5125,0.1,0.051051445
ARNTL,1.33,T10,1.3425,0.05,0.026575365
ARNTL,1.42,T10,1.3425,0.05,0.026575365
ARNTL,1.32,T10,1.3425,0.05,0.026575365
ARNTL,1.3,T10,1.3425,0.05,0.026575365
ARNTL,0.49,T11,0.8775,0.27,0.134373547
ARNTL,0.97,T11,0.8775,0.27,0.134373547
ARNTL,0.94,T11,0.8775,0.27,0.134373547
ARNTL,1.11,T11,0.8775,0.27,0.134373547
ARNTL,1.2,T12,1.095,0.09,0.04330127
ARNTL,1.11,T12,1.095,0.09,0.04330127
ARNTL,0.99,T12,1.095,0.09,0.04330127
ARNTL,1.08,T12,1.095,0.09,0.04330127
PER2,1.62,T1,1.1375,0.63,0.31470555
PER2,1.74,T1,1.1375,0.63,0.31470555
PER2,0.55,T1,1.1375,0.63,0.31470555
PER2,0.64,T1,1.1375,0.63,0.31470555
PER2,0.65,T2,0.5975,0.08,0.041306779
PER2,0.6,T2,0.5975,0.08,0.041306779
PER2,0.66,T2,0.5975,0.08,0.041306779
PER2,0.48,T2,0.5975,0.08,0.041306779
PER2,1.79,T3,2.1725,0.29,0.147217243
PER2,2.5,T3,2.1725,0.29,0.147217243
PER2,2.15,T3,2.1725,0.29,0.147217243
PER2,2.25,T3,2.1725,0.29,0.147217243
PER2,3.05,T4,3.5025,0.68,0.340229702
PER2,3.59,T4,3.5025,0.68,0.340229702
PER2,4.43,T4,3.5025,0.68,0.340229702
PER2,2.94,T4,3.5025,0.68,0.340229702
PER2,3.3,T5,3.795,0.44,0.218498665
PER2,4.35,T5,3.795,0.44,0.218498665
PER2,3.67,T5,3.795,0.44,0.218498665
PER2,3.86,T5,3.795,0.44,0.218498665
PER2,4.13,T6,3.8,0.3,0.150720492
PER2,3.52,T6,3.8,0.3,0.150720492
PER2,3.57,T6,3.8,0.3,0.150720492
PER2,3.98,T6,3.8,0.3,0.150720492
PER2,1.72,T7,2.42,0.47,0.236889566
PER2,2.55,T7,2.42,0.47,0.236889566
PER2,2.75,T7,2.42,0.47,0.236889566
PER2,2.66,T7,2.42,0.47,0.236889566
PER2,2.92,T8,2.7125,0.35,0.172837833
PER2,3.09,T8,2.7125,0.35,0.172837833
PER2,2.45,T8,2.7125,0.35,0.172837833
PER2,2.39,T8,2.7125,0.35,0.172837833
PER2,2.52,T9,3.01,0.5,0.248092725
PER2,3.01,T9,3.01,0.5,0.248092725
PER2,2.82,T9,3.01,0.5,0.248092725
PER2,3.69,T9,3.01,0.5,0.248092725
PER2,3.8,T10,3.6925,0.44,0.221260593
PER2,3.86,T10,3.6925,0.44,0.221260593
PER2,4.06,T10,3.6925,0.44,0.221260593
PER2,3.05,T10,3.6925,0.44,0.221260593
PER2,2.13,T11,3.7025,1.05,0.525711819
PER2,4.34,T11,3.7025,1.05,0.525711819
PER2,4.16,T11,3.7025,1.05,0.525711819
PER2,4.18,T11,3.7025,1.05,0.525711819
PER2,4.56,T12,4.1975,0.76,0.382238473
PER2,3.29,T12,4.1975,0.76,0.382238473
PER2,3.9,T12,4.1975,0.76,0.382238473
PER2,5.04,T12,4.1975,0.76,0.382238473
